25	200	1
0	40	50	0	0	240	0	0	0
1	25	85	20	125	191	10	0	46	0
2	22	75	30	32	97	10	0	6	0
3	22	85	-10	101	146	10	8	0	0
4	20	80	40	71	193	10	0	100	0
5	20	85	20	40	113	10	0	45	0
6	18	75	-30	55	164	10	2	0	0
7	15	75	20	69	118	0	0	103	0
8	15	80	10	56	155	10	0	3	0
9	10	35	-10	51	160	10	47	0	0
10	10	40	-20	90	177	10	17	0	0
11	8	40	40	33	152	10	0	15	0
12	8	45	20	49	108	10	0	13	0
13	5	35	-20	62	191	10	12	0	0
14	5	45	10	35	117	10	0	16	0
15	2	40	-40	39	161	10	11	0	0
16	0	40	-10	59	114	10	14	0	0
17	0	45	20	60	189	10	0	10	0
18	44	5	20	79	124	10	0	48	0
19	42	10	40	58	115	10	0	20	74
20	42	15	-40	111	162	10	19	0	74
21	40	5	10	52	111	10	0	56	0
22	40	15	40	55	158	10	0	66	0
23	38	5	30	45	164	10	0	49	0
24	38	15	-3	128	194	10	52	0	0
25	35	5	-17	54	184	10	64	0	0
26	95	30	30	105	154	10	0	30	83
27	95	35	20	57	172	10	0	32	0
28	92	30	10	55	120	10	0	34	64
29	90	35	-20	52	112	10	31	0	0
30	88	30	-30	52	159	10	26	0	83
31	88	35	20	50	110	10	0	29	0
32	87	30	-20	116	175	10	27	0	0
33	85	25	10	51	178	0	0	101	0
34	85	35	-10	100	151	10	28	0	64
35	67	85	20	61	185	10	0	36	0
36	65	85	-20	43	186	10	35	0	0
37	65	82	-10	113	164	10	39	0	0
38	62	80	30	37	148	10	0	44	0
39	60	80	10	36	191	10	0	37	0
40	60	85	-10	50	149	10	42	0	98
41	58	75	20	48	165	10	0	43	0
42	55	80	10	33	166	10	0	40	98
43	55	85	-20	117	168	10	41	0	0
44	55	82	-30	35	148	10	38	0	0
45	20	82	-20	37	177	10	5	0	0
46	18	80	-20	98	157	10	1	0	0
47	2	45	10	38	109	10	0	9	0
48	42	5	-20	120	184	10	18	0	0
49	42	12	-30	79	158	10	23	0	0
50	72	35	30	104	157	10	0	96	0
51	55	20	19	69	126	10	0	80	0
52	25	30	3	36	97	10	0	24	0
53	20	50	-19	57	154	10	88	0	0
54	55	60	-23	127	180	10	94	0	0
55	30	60	16	95	214	0	0	104	0
56	50	35	-10	88	201	10	21	0	0
57	30	25	-16	82	139	10	65	0	0
58	15	10	-16	56	182	10	75	0	59
59	10	20	-13	42	125	10	87	0	0
60	15	60	17	137	202	10	0	68	155
61	45	65	9	55	106	10	0	90	81
62	65	35	3	29	158	10	0	76	0
63	65	20	6	39	108	10	0	89	0
64	45	30	17	20	139	10	0	25	0
65	35	40	16	11	140	10	0	57	0
66	41	37	-40	92	203	10	22	0	0
67	64	42	-14	28	141	10	71	0	0
68	40	60	-17	100	217	10	60	0	155
69	31	52	27	9	134	10	0	79	104
70	35	69	-5	60	210	10	73	0	0
71	65	55	14	52	107	10	0	67	0
72	63	65	8	27	101	10	0	93	0
73	2	60	5	65	118	10	0	70	0
74	20	20	8	72	193	0	0	105	0
75	5	5	16	60	117	10	0	58	59
76	60	12	-3	42	143	10	62	0	0
77	23	3	-35	52	180	10	97	0	0
78	8	56	-9	46	163	10	98	0	0
79	6	68	-27	54	153	10	69	0	104
80	47	47	-19	97	222	10	51	0	0
81	49	58	10	80	121	0	0	106	0
82	27	43	9	26	87	10	0	99	0
83	37	31	14	19	87	10	0	86	67
84	57	29	-6	62	159	10	95	0	0
85	63	23	-14	76	127	10	92	0	0
86	21	24	-14	77	126	10	83	0	67
87	12	24	13	68	141	10	0	59	0
88	24	58	19	24	139	10	0	53	0
89	67	5	-6	105	177	10	63	0	0
90	37	47	-9	74	127	10	61	0	81
91	49	42	13	151	212	0	0	102	0
92	53	43	14	14	155	10	0	85	0
93	61	52	-8	69	208	10	72	0	0
94	57	48	23	86	133	10	0	54	0
95	56	37	6	20	84	10	0	84	0
96	55	54	-30	121	172	10	50	0	0
97	4	18	35	112	157	10	0	77	0
98	26	52	9	30	91	10	0	78	0
99	26	35	-9	37	146	10	82	0	0
100	31	67	-40	66	210	10	4	0	0
101	85	25	-10	51	178	10	33	0	0
102	49	42	-13	151	212	10	91	0	0
103	15	75	-20	69	118	10	7	0	0
104	30	60	-16	95	214	10	55	0	0
105	20	20	-8	72	193	10	74	0	0
106	49	58	-10	80	121	10	81	0	0

