instance;nv;tc
lc1_4_1;40;7152.06
lc1_4_2;38;8007.79
lc1_4_3;32;8678.23
lc1_4_4;30;6451.68
lc1_4_5;40;7150
lc1_4_6;40;7154.02
lc1_4_7;40;7149.43
lc1_4_8;38;8305.42
lc1_4_9;36;7451.2
lc1_4_10;34;7850.22
lc2_4_1;12;4116.33
lc2_4_2;12;4144.29
lc2_4_3;12;4401.08
lc2_4_4;12;3743.95
lc2_4_5;12;4030.63
lc2_4_6;12;3900.29
lc2_4_7;12;3962.51
lc2_4_8;12;3844.45
lc2_4_9;12;4188.93
lc2_4_10;12;3828.44
lr1_4_1;40;10639.75
lr1_4_2;30;11009.51
lr1_4_3;22;9251.13
lr1_4_4;15;7037.17
lr1_4_5;28;11374.06
lr1_4_6;23;11778.11
lr1_4_7;18;8675.36
lr1_4_8;14;5839.03
lr1_4_9;24;9859.47
lr1_4_10;20;8192.65
lr2_4_1;8;9726.88
lr2_4_2;7;9405.40
lr2_4_3;5;10282.01
lr2_4_4;4;6201.84
lr2_4_5;6;9906.55
lr2_4_6;5;8946.91
lr2_4_7;4;8029.57
lr2_4_8;4;5295.76
lr2_4_9;6;7926.07
lr2_4_10;5;7596.62
lrc1_4_1;36;9124.52
lrc1_4_2;31;8346.06
lrc1_4_3;24;7805.16
lrc1_4_4;19;5803.31
lrc1_4_5;32;8847.4
lrc1_4_6;30;8394.47
lrc1_4_7;28;8037.87
lrc1_4_8;26;7930.15
lrc1_4_9;25;8004.24
lrc1_4_10;23;7064.36
lrc2_4_1;11;9738.95
lrc2_4_2;10;7159.95
lrc2_4_3;8;6426.47
lrc2_4_4;5;5238.77
lrc2_4_5;10;7309.54
lrc2_4_6;9;6337.08
lrc2_4_7;8;6292.23
lrc2_4_8;7;5767.72
lrc2_4_9;6;6272.92
lrc2_4_10;6;5397.08
